Ticket_ID,Customer_ID,Technical Level,FaQ,Category,Answer,Emotional State,Status
1000,C1,Beginner,How can I create an account? ,Account,"To create an account, click on the 'Sign Up' button on the top right corner of our website and follow the instructions to complete the registration process.",Satisfied,Closed
1001,C2,Intermediate,How can I recover deleted files?,Software,"Use Microsoft OneDrive File Recovery. If you were using OneDrive to save your Microsoft Office files, there's a possibility that backups of your files exist online.",Satisfied,Closed
1002,C3,Beginner,How can I reset my password?,Account,"To reset your password, click on the 'Forgot Password' link on the login page and follow the instructions to reset your password.",Satisfied,Closed
1003,C4,Intermediate,Why can't I connect to the Wi-Fi?,Network,Check your router settings and ensure your device's network adapter drivers are up to date.,Frustrated,Open
1004,C5,Advanced,How do I backup my data?,Software,"Set up automated, incremental backups with cloud services and ensure offsite storage.",Confused,Closed
1005,C6,Intermediate,What antivirus should I use?,Software,"Norton 360 Provides comprehensive protection against malware, ransomware, and phishing attacks. It includes features like a VPN for online privacy, cloud backup, and a password manager.",Satisfied,Closed
1006,C7,Beginner,How to set up my email?,Account,"Open Your Email Client, follow the sign up process, complete set up.",Confused,Closed
1007,C8,Beginner,What is the wifi password?,Network,The  WiFi password is bournemouth24,Satisfied,Closed
1008,C9,Intermediate,How to configure VPN?,Network,"Open Settings, Go to Network & Internet: Click on ""Network & Internet"", Add a VPN Connection: Under VPN, click on ""Add a VPN connection"", Enter VPN Details",Confused,Closed
1009,C10,Advanced,Can I upgrade my computer hardware?,Hardware,"Yes, by upgrading RAM can improve multitasking and overall system performance, especially if you currently have insufficient RAM for your tasks.",Confused,Open
1010,C11,Advanced,Why is the network so slow?,Network,"Simply restarting your router, modem, and devices can resolve temporary network issues.",Frustrated,Open
1011,C12,Intermediate,How do I update my software?,Software,Download the latest version from the official website or use the software's built-in updater.,Satisfied,Closed
1012,C13,Advanced,Why is my screen flickering?,Hardware,Diagnose hardware issues using diagnostic tools and check for any power supply problems.,Confused,Open
1013,C14,Advanced,How do I fix a Blue Screen of Death (BSOD)?,Hardware,Analyze crash dump files to identify the cause of BSOD and apply necessary fixes.,Frustrated,Closed
1014,C15,Beginner,How can I improve my internet speed?,Network,Restart your router and modem. Ensure no heavy bandwidth usage is occurring.,Frustrated,Closed
1015,C16,Intermediate,How do I configure my email on my phone?,Software,"Open Settings, scroll to mail, tap on accounts, add an account, sign in, save",Confused,Closed
1016,C17,Intermediate,What should I do if my computer is overheating?,Hardware,Apply new thermal paste to your CPU and ensure all fans are functioning properly.,Confused,Closed
1017,C18,Advanced,Are there any updates or fixes on the software crash?,Software,Check the application logs to identify the cause of the crash. These are usually found in the application's installation directory or under the 'Logs' section in the application settings. Analyze the error codes or messages that appear when the crash occurs.,Frustrated,Closed
1018,C19,Advanced,What's the difference between a full scan and quick scan?,Software,A quick scan will look for viruses and other malware in all the places they are most likely to hide. It’s a good choice when you’re just checking on the health of your PC.,Confused,Closed
1019,C20,Advanced,How do I set up a VPN?,Network,Set up a VPN server on a network device and configure advanced encryption settings.,Confused,Closed
1020,C21,Intermediate,How can I improve network connectivity?,Network,"Adjust the antenna direction, update router firmware, and optimize channel settings.",Satisfied,Open
1021,C22,Beginner,How do I recover deleted files?,Software,Check the recycle bin and restore the file if it's there.,Confused,Open
1022,C23,Beginner,How do I update my operating system?,Software,Use the built-in update feature in your system settings to install updates.,Confused,Closed
1023,C24,Advanced,How to deal with a virus infection?,Software,Perform dynamic analysis with a sandbox environment to trace malware activity and patch system vulnerabilities.,Satisfied,Closed
1024,C25,Intermediate,How can I speed up my computer?,Hardware,"Upgrade RAM, optimize your startup processes, and defragment your hard drive if it's HDD.",Frustrated,Open
1025,C26,Beginner,Why is my internet connection unstable?,Network,"Try unplugging your router, waiting a minute, and plugging it back in.",Frustrated,Closed
1026,C27,Beginner,Why can't I open PDF files on my computer?,Software,Download Adobe Reader or another PDF viewer and install it.,Frustrated,Open
1027,C28,Advanced,How do I encrypt my files for security?,Software,Implement full-disk encryption and use hardware encryption devices for sensitive data.,Satisfied,Closed
1028,C29,Advanced,Why do my applications keep crashing?,Software,Check application logs for errors and conflicts that could be causing the crashes.,Frustrated,Open
1029,C30,Intermediate,What to do if my external hard drive is not recognized?,Hardware, Try different USB ports or a different computer to rule out a port malfunction. Report if it's not fixed.,Confused,Closed
1030,C31,Advanced,How to uninstall a stubborn program on my computer?,Software,Manually remove the program files and edit the registry to clear all remnants of the program.,Confused,Open
1031,C32,Beginner,How to optimize battery life on my laptop?,Hardware,Reduce screen brightness and close unused applications.,Confused,Open
1032,C33,Beginner,How can I monitor my network traffic?,Network,Install network monitoring software that provides basic insights into which apps are using your internet.,Satisfied,Closed
1033,C34,Intermediate,How do I recover a hacked email account?,Software,"After resetting your password, review account settings for any unauthorized changes and update your security questions.",Satisfied,Closed
1034,C35,Advanced,How to remove a virus from my computer?,Software,Use command-line virus removal tools and manually delete registry entries or malicious files.,Confused,Closed
1035,C36,Beginner,Why don't I get the Authentication Verification code?,Account,"Open the Microsoft Authenticator app and check that your Microsoft account is properly set up and associated. Make sure you have enabled Notifications so that the app can send you authentication codes. On your device, make sure you have granted notification permissions for the Microsoft Authenticator app.",Frustrated,Open
1036,C37,Advanced,How can I fix the 'Unable to connect to the RDP port (127.0.0.3)' error when using RDP Plus?,Network,"You can check your local firewall rules using Windows Firewall with Advanced Security. To reach it, open Control Panel, click System and Security, and then click Windows Defender Firewall. Click Advanced settings. In the left pane, click Inbound Rules (for incoming connections). Look for a rule named ""Remote Desktop - User Mode (TCP-In)"" with the local port 3389 (or your custom port if it's been changed).",Frustrated,Open
1037,C38,Beginner,How can I get my locked account?,Account,You can try using the Microsoft Account Recovery Tool (Recover your account (live.com)) to reset your password. ,Confused,Open
